Data Semantics in Web Information Systems [DASWIS],20
Data Warehousing and Knowledge Discovery [DaWaK],70
"Database Programming Languages [DBPL]
(Databases and Programming Language [DBPL])",70
Design and Aesthetics in Visualisation [DAViz],20
Design and Management of Data Warehouses [DMDW],20
Design for User Experience [DUX],70
"Design, Automation and Test in Europe Conference [DATE]",70
Designing Interactive Systems [DIS],70
Developments in Language Theory [DLT],70
Digital Arts and Culture [DAC],20
Digital Games Research Conference [DIGRA],20
Digital Image Computing Techniques and Applications [DICTA],20
DIMACS Workshop on Intrinsic Complexity of Computation [DIMACS Intrinsic],20
Discourse Anaphora and Anaphor Resolution Colloquium [DAARC],20
Discrete and Algorithmic Geometry [DAG],20
"Discrete Models: Combinatorics, Computation and Geometry [DM-CCG]",20
Distributed Communities on the Web Workshop [Dcw],20
Domain - Specific Languages for Software Engineering [DSLSE],20
Domain Specific Aspect Languages [DSAL],20
Dutch Computational Geometry Day [DutchCG],20
Dynamic Graph Workshop [DGW],20
Dynamic Languages Symposium [DLS],70
ECRYPT Workshop on Cryptographic Hash Functions,20
ECRYPT Workshop on Tools for Cryptanalysis,20
Educational Data Mining [EDM],70
Embedded Sensor Networks Workshop [Emnets],20
Empirical Methods in Natural Language Processing [EMNLP],140
Enabling Grids for E-Science European Conference [EGEE],20
ENVI and IDL Data Analysis and Visualization Symposium [VISualize],20
ERATO Conference on Quantum Information Science [EQIS],20
ERCIM Annual Workshop on Constraint Solving and Constraint Logic Programming [ERCIM/CSCLP],70
Ershov Conference [PSI],70
ETHICOMP Conference [ETHICOMP],70
Euro Virtual Reality [Euro VR],20
"EuroConference on Combinatorics, Graph Theory and Applications [EUroComb]",20
Eurographics Symposium on Parallel Graphics and Visualization [EGPGV],70
"International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments [EGVE]
(Eurographics Symposium on Virtual Environments [EGVE])",70
Eurographics/IEEE Symposium on Visualization [EuroVis],70
Euromicro Conference on Real-Time Systems [ECRTS],140
Euromicro Conference on Software Engineering and Advanced Applications [SEAA],70
"Euromicro International Conference on Parallel, Distributed and Network Based Processing [PDP]",20
European Association of Computational Linguistics [EACL],140
European Chapter on Combinatorial Optimization [ECCO],20
European Computing Conference [ECC],20
European Conference of Information Warfare [ECIW],20
European Conference on Ambient Intelligence [AmI],20
European Conference on Artificial Intelligence [ECAI],140
European Conference on Artificial Life [ECAL],70
European Conference on Computational Biology [ECCB],70
European Conference on Computational Learning Theory (Now in COLT) [EuroCOLT],20
European Conference on Computer Supported Cooperative Work [ECSCW],70
European Conference on Computer Vision [ECCV],140
"European Conference on Digital Government [ECDG]
(European Conference on e-Government [ECEG])",20
European Conference on Genetic Programming [EUROGP],70
European Conference on Information Management and Evaluation [ECIME],20
European Conference on Information Retrieval [ECIR],140
European Conference on Information Systems [ECIS],140
European Conference on Knowledge Management [EKM],70
European Conference on Object-Oriented Programming [ECOOP],140
European Conference on Operations Research [EURO],20
European Conference on Pattern Languages of Programs [EuroPLop],70
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database [ECML PKDD],140
European Conference on Research Methodology for Business and Management Studies [ECRM],20
European Conference on Software Maintenance and Reengineering [CSMR],20
Interspeech [Interspeech],140
European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty [ECSQARU],20
European Conference on Universal Multiservice Networks [ECUMN],20
International Conference on Embedded Wireless Systems and Networks (was European Conference on Wireless Sensor Networks) [EWSN],140
European Congress on Intelligent Techniques and Soft Computing [EUFIT],20
European Graphics Conference [EUROGRAPH],140
European Institute for Computer Anti-Virus Research EICAR Conference [EICAR],20
European Lisp Workshop [ELW],20
European Natural Language Generation Workshop [EuroNLG],70
European PKI Workshop: Theory and Practice [EUROPKI],70
"European MPI Users' Group Conference [EuroMPI]
(European PVM/MPI Users' Group Conference [EuroPVM/MPI])",20
European Signal Processing Conference [EUSIPCO],70
"International Conference on Modelling and Simulation [ECMS]
(European Simulation MultiConference [ESM])",70
European Simulation Symposium [ESS],70
European SPI [EuroSPI],70
European Symposium on Algorithms [ESA],140
European Symposium on Artificial Neural Networks [ESANN],70
European Symposium on Gender and ICT [ESGICT],20
European Symposium on Programming [ESOP],140
European Symposium On Research In Computer Security [ESORICS],140
European Workshop on Advanced Mobile Robots [EuroBot],20
European Workshop on Computational Geometry [EuroCG],20
European Workshop on Modelling Autonomous Agents in a Multi-Agent World [MAAMAW],20
European Workshop on Multi-Agent Systems [EUMAS],20
European Workshop on Security and Privacy in Ad -Hoc and Sensor Networks [ESAS],20
"European, Mediterranean and Middle Eastern Conference on Information Systems [EMCIS]",70
European-Japanese Conference on Information Modelling and Knowledge Bases [EJC],20
Eurosys Conference [EuroSys],140
Exploring Modelling Methods in Systems Analysis and Design [EMMSAD],20
Extending Database Technology [EDBT],140
Extreme Markup Languages [Extreme],20
Financial Cryptography and Data Security Conference [FC],70
Finite Differences-Finite Elements-Finite Volumes-Boundary Elements [F-and-B],20
FIRA Robot World Congress [FIRA],20
Flexible Query-Answering Systems [FQAS],20
Formal and Computational Cryptography [FCC],20
"International Symposium on Formal Methods [FM]
(Formal Methods Europe [FME])",140
Formal Methods in Software Engineering and Defence Systems Workshop [FMSEDS],20
Formal Methods Pacific [FMP],20
Formal Power Series and Algebraic Combinatorics [FPSAC],70
"Forum on Specification and Design Languages [FDL]
(Forum on Specification, Verification and Design Languages [FDL])",20
Foundations of Aspect-Oriented Languages [FOAL],20
Foundations of Genetic Algorithms [FOGA],200
Foundations of Software Science and Computational Structures [FOSSACS],140
Foundations of Software Technology and Theoretical Computer Science [FST&TCS],70
Functional and Declarative Programming in Education [FDPE],20
Fundamental Approaches to Software Engineering [FASE],70
Game Developers Conference [GDC],20
Genetic and Evolutionary Computations [GECCO],140
Geometry Festival: An international workshop on Discrete Geometry and Rigidity [GeomFest],20
Geometry Modeling and Processing [GMP],70
GeoVisualization and Information Visualization [GeoViz],20
"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment [DIMVA]",20
GIS Planet Conference [GISPlanet],20
Global Chinese Conference on Computers in Education [GCCCE],20
Global Information Technology Management Association World Conference [GITMA],70
Grace Hopper Celebration of Women in Computing [GHC],20
Graph Drawing [GD],140
Graphics Interface [GI],70
Haskell Workshop [HASKELL],20
Hawaii International Conference on System Sciences [HICSS],140
Health Informatics Conference [HIC],20
Heterogeneity in Computing Workshop [HCW],70
High-Performance Grid Computing Workshop (part of IPDPS Conference) [HPGrid],20
Human System Interaction [HSI],20
IAVoSS Workshop On Trustworthy Elections [WOTE],20
IberoAmerican Congress on Pattern Recognition [CIARP],20
IEEE Automatic Speech Recognition and Understanding Workshop [ASRU],20
IEEE Bioinformatics and Bioengineering [BIBE],20
IEEE Computational Systems Bioinformatics Conference [CSB],140
IEEE Computer Communications Workshop [CCW],70
IEEE Computer Security Foundations Symposium (was CSFW) [CSF],140
IEEE Conference on Computational Complexity [CCC],140
